First Name,Last Name,Profile picture,Email Address,Phone Number,Room Number,Subjects taught
Laticia,Landen,21167.JPG,teacher1@school.com,-591,3a,"Computer science, Physics"
Maryjane,Marcum,21196.JPG,teacher2@school.com,-599,1c,Mathematics
Josephina,Janecek,21239.JPG,teach3@school.com,-1045,1a,History
Tamela,Tomblin,21309.JPG,teach1@school.com,-442,2d,"geography, Computer science, Biology, Chemistry"
Bernardo,Bains, ,teach4@school.com,-813,7a,"Mathematics, Physics"
Cordelia,Carpio,21350.JPG,teach5@school.com,-337,12E,"Computer Science, Maths"
Soon,Shott,21529.JPG,teach6@school.com,-912,11a,"English, Arabic"
Martha,Mcloughlin,21530.jpg,teach7@school.com,-335,7G,"Mathematics, physics, chemistry, biology, history, english"
Arlinda,Arehart,21578.jpg,teach8@school.com,-1051,8b,History
Bernardo,Bains,21744.JPG,teach9@school.com,-1030,4c,"Physics, Biology"
